feature_id,plane,sheet,l1_feature,l2_feature,l2_description,intended_user_outcome,semantic_owner,product_subsystem,runtime_implementer,execution_mechanism,implementation_decision,existing_ai4rnd_implementation,existing_jiuwen_implementation,reusable_evidence,missing_work,persistence_authority,data_graph,verification_authority,acceptance_evidence_or_test,product_surface,delivery_phase,confidence,evidence_class,implementation_slices,assumptions_open_questions
VT-11,Vertical,Vertical Features,UI,2. GUI,"Provide a graphical desktop or web interface for task intake, setup and configuration, workflow and gate monitoring, approval, artifact and evidence inspection, and deliverable access, including loading, empty, error, and accessibility states.",A user can run a project end to end without the CLI,JiuwenSwarm Application,UI shell,JiuwenSwarm Application,n/a - presentation,EXTEND,Web UI prototype in the AI4Research repository,"Web UI with session, skills and settings",jw-src/jiuwenswarm/gateway/channel_manager/web/,"Project view, plan inspector, evidence browser, improvements inbox",JiuwenSwarm UI state,,JiuwenSwarm UI tests,A user can run a project end to end without the CLI,CLI / GUI / TUI,P1,HIGH,SRC,,
VT-12,Vertical,Vertical Features,UI,3. TUI,"Provide an interactive terminal interface for monitoring runs, TaskGraph nodes, agents or panes, queues, gates, logs, and resource state, and for issuing explicit authorized control actions through keyboard-driven views.",Project status is visible in the TUI,JiuwenSwarm Application,UI shell,JiuwenSwarm Application,n/a - presentation,REUSE,tmux cockpit is the current TUI,jiuwenswarm-tui package exists,jw-src/packages/jiuwenswarm-tui/,Research views in the TUI,JiuwenSwarm UI state,,JiuwenSwarm UI tests,Project status is visible in the TUI,CLI / GUI / TUI,P1,MEDIUM,DOC,,
VT-13,Vertical,Vertical Features,Account management,1. Account Registration,"Create an individual product account with verified identity, accepted terms, and initial personal settings.",A user can register and the account owns their projects,External / New Product Work,Accounts,External / New Product Work,n/a - identity service,BUILD,Absent - no account registration in the repository,No account registration; sessions are not user accounts,grep account_registration across AI4Research returns 0 files,The whole account subsystem,Account/identity store (absent today),,Security review + authentication tests,A user can register and the account owns their projects,Account settings,P6,HIGH,EXEC,,
VT-14,Vertical,Vertical Features,Account management,2. Authentication & Session Security,"Support secure sign-in, sign-out, session establishment, reauthentication, recovery, session revocation, and suspicious-access visibility.",Sessions cannot be assumed by another user,External / New Product Work,Accounts,External / New Product Work,n/a - identity service,BUILD,Absent,No authentication tier for end users,No authentication module found in either tree at the product layer,Authentication and session security,Account/identity store (absent today),,Security review + authentication tests,Sessions cannot be assumed by another user,Account settings,P6,HIGH,EXEC,,Explicitly out of scope for verification here - the safeguards forbid touching authentication
VT-15,Vertical,Vertical Features,Account management,3. User Profile Management,"Manage identity, expertise, role, research preferences, notification choices, accessibility choices, and default product behavior.",A profile persists across installs,External / New Product Work,Accounts,External / New Product Work,n/a - identity service,BUILD,Absent,Absent,-,User profile management,Account/identity store (absent today),,Security review + authentication tests,A profile persists across installs,Account settings,P6,HIGH,INF,,
VT-16,Vertical,Vertical Features,Account management,4. Privacy & Personal Data Controls,"Let users inspect, export, retain, or delete personal settings and supplied data and manage consent for message-derived information.",A user can export and delete their data,External / New Product Work,Accounts,External / New Product Work,n/a - identity service,BUILD,Absent,Absent,-,Privacy and personal data controls,Account/identity store (absent today),,Security review + authentication tests,A user can export and delete their data,Account settings,P6,HIGH,INF,,
VT-17,Vertical,Vertical Features,Message Channels,1. Wechat,"Accept user-authorized WeChat article links or copied content through the supported intake path; fetch and normalize permitted content, preserve provenance, deduplicate revisions, redact sensitive data, and dispatch qualified material to ingestion.",A gate decision can be approved from WeChat,JiuwenSwarm Application,Channels,JiuwenSwarm Application,Jiuwen channel adapters,REUSE,Not present,WeChat is one of the nine supported channels,jw-src/jiuwenswarm/gateway/channel_manager/,Project notifications on the channel,JiuwenSwarm channel config + session link,,JiuwenSwarm channel integration tests,A gate decision can be approved from WeChat,Channel settings,P1,HIGH,SRC,,
VT-18,Vertical,Vertical Features,Message Channels,2. Discord,"Connect an authorized Discord workspace through a bot or application, scope guild and channel permissions, ingest permitted messages as qualified signals, deliver approved notifications, preserve provenance, and support credential revocation and audit.",Same as VT-17 on Discord,JiuwenSwarm Application,Channels,JiuwenSwarm Application,Jiuwen channel adapters,REUSE,Not present,Discord is a supported channel,jw-src/jiuwenswarm/gateway/channel_manager/,Project notifications,JiuwenSwarm channel config + session link,,JiuwenSwarm channel integration tests,Same as VT-17 on Discord,Channel settings,P1,HIGH,SRC,,
VT-19,Vertical,Vertical Features,Message Channels,3. TMUX,"Register and operate tmux sessions and panes as controlled terminal and runtime surfaces, including ownership, attach and detach, pane-state and log inspection, notifications, recovery, and isolation between runs.",Either tmux is a registered channel or its retirement is recorded,JiuwenSwarm Application,Channels,JiuwenSwarm Application,Jiuwen channel adapters,PORT,tmux is the current AI4RnD carrier,No tmux channel,AI4Research harness tmux cockpit and coordinator.sh,Decide whether tmux remains a channel or is retired with the cockpit,JiuwenSwarm channel config + session link,,JiuwenSwarm channel integration tests,Either tmux is a registered channel or its retirement is recorded,Channel settings,P1,HIGH,SRC,,"Open question: the workbook lists TMUX as a message channel, but the recommended architecture retires the tmux carrier"
VT-20,Vertical,Vertical Features,System Configurations,1. LLM Config,"Configure provider endpoints and credential references, register available models and aliases, assign role-specific model defaults, and validate the effective model-routing configuration without exposing raw secrets.",Model configuration is a single surface,JiuwenSwarm Application,Configuration,JiuwenSwarm Application,n/a - configuration,REUSE,Model config in harness config,Model pool and provider configuration in settings,openjiuwen agent_teams/models/allocator.py,Research-specific model policy,JiuwenSwarm config store,,Config schema validation,Model configuration is a single surface,Settings,P1,HIGH,SRC,,
VT-21,Vertical,Vertical Features,System Configurations,2. User Settings,"Manage persistent user-local preferences such as display identity, timezone, workspace and knowledge paths, runtime choice, search and reasoning options, UI behavior, and ingestion defaults, with validated configuration precedence.",Settings persist across restarts,JiuwenSwarm Application,Configuration,JiuwenSwarm Application,n/a - configuration,REUSE,Settings in config/,User settings in the web UI,jw-src/jiuwenswarm/resources/config.yaml,Research preferences,JiuwenSwarm config store,,Config schema validation,Settings persist across restarts,Settings,P1,MEDIUM,SRC,,
VT-22,Vertical,Vertical Features,System Configurations,3. Cost/Budget Settings,"Define and enforce token, call, monetary, compute, and storage budgets and quotas by provider, model, project, or task; track consumption, warn near limits, and block or reroute work when hard limits are reached.",A project cannot exceed its configured budget,JiuwenSwarm Application,Configuration,JiuwenSwarm Application,n/a - configuration,EXTEND,Budget policy in concurrency-policy.json,Token budget accounting exists; no user-facing budget settings,openjiuwen workflow engine budget_total,Budget settings surface and enforcement per project,JiuwenSwarm config store,,Config schema validation,A project cannot exceed its configured budget,Settings,P1,MEDIUM,SRC,,
VT-23,Vertical,Vertical Features,System Configurations,4. Cluster setting,"Declare local and remote execution hosts, host types, addresses, lifecycle settings, heartbeat and probe rules, and capacity or concurrency limits, and expose the validated cluster topology to operator binding and scheduling.",Unresolved - the workbook does not state what a cluster owns,Unresolved,Configuration,Unresolved,n/a - configuration,UNRESOLVED,actor-hosts.json describes a host fleet,Distributed team configuration exists (config.team.distributed.*.yaml),jw-src/jiuwenswarm/resources/config.team.distributed.leader.yaml,Cluster semantics for the combined product are undefined,JiuwenSwarm config store,,Config schema validation,Unresolved - the workbook does not state what a cluster owns,Settings,P1,LOW,INF,,Genuinely unresolved: 'Cluster setting' is one line in the workbook with no description of scope
